date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps,B_pred,B_actual,D_pred,D_actual
2008-12-24,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.001284572295844555,1,-0.0003429576463531703,-1,-0.0003429576463531703,-0.0003429576463531703,,,,0,-3.4295764635317028,-0.0038878172636032104,0.06284288316965103,0.001284572295844555,-0.01131396397522408
2008-12-26,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.00020875222980976105,1,-0.008273275569081306,-1,-0.008273275569081306,-0.008616233215434477,,,,0,-82.73275569081306,-0.005045626312494278,0.06286349147558212,0.00020875222980976105,-0.28636381278925166
2008-12-29,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0003567100502550602,-1,0.020555762574076653,1,-0.020555762574076653,-0.02917199578951113,,,,0,-205.55762574076653,-0.0021027103066444397,0.08108048141002655,-0.0003567100502550602,0.7113592667332982
2008-12-30,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.00796360895037651,1,0.008441665209829807,1,0.008441665209829807,-0.020730330579681322,,,,1,84.41665209829807,-0.013953141868114471,0.0317063182592392,0.00796360895037651,0.359792261687734
2008-12-31,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0021004658192396164,-1,0.042461689561605453,1,-0.042461689561605453,-0.06319202014128678,,,,0,-424.61689561605453,-0.0285964235663414,0.033722203224897385,-0.0021004658192396164,1.8988990613166399
2009-01-02,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0017375415191054344,-1,-0.00032235000981017947,-1,0.00032235000981017947,-0.0628696701314766,,,,1,3.2235000981017947,-0.02108338475227356,-0.03142658993601799,-0.0017375415191054344,-0.013732587060522822
2009-01-05,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0060402629896998405,-1,0.00994371809065342,1,-0.00994371809065342,-0.07281338822213002,,,,0,-99.4371809065342,-0.02098242938518524,-0.04956405982375145,-0.0060402629896998405,0.440405604963444
2009-01-06,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.00881156511604786,-1,-0.028818404302001,-1,0.028818404302001,-0.043994983920129016,,,,1,288.18404302001,-0.01739891618490219,-0.0591689758002758,-0.00881156511604786,-1.38107552841447
2009-01-07,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0038911006413400173,-1,0.010457552038133144,1,-0.010457552038133144,-0.05445253595826216,,,,0,-104.57552038133144,-0.022690899670124054,-0.06130253151059151,-0.0038911006413400173,0.5213772021956417
2009-01-08,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0019226758740842342,-1,-0.02268710546195507,-1,0.02268710546195507,-0.03176543049630709,,,,1,226.8710546195507,-0.015327580273151398,-0.05547646805644035,-0.0019226758740842342,-1.123864984696404
2009-01-09,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.007770124357193708,-1,-0.018459821119904518,-1,0.018459821119904518,-0.013305609376402572,,,,1,184.59821119904518,-0.05130224674940109,-0.021853338927030563,-0.007770124357193708,-0.8874499725674849
2009-01-12,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0019369721412658691,-1,0.00033880159026011825,1,-0.00033880159026011825,-0.01364441096666269,,,,0,-3.3880159026011825,-0.027814224362373352,-0.05429340526461601,-0.0019369721412658691,0.016710213945114464
2009-01-13,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.009159756824374199,-1,-0.030951958149671555,-1,0.030951958149671555,0.017307547183008865,,,,1,309.51958149671555,-0.022456012666225433,-0.012951979413628578,-0.009159756824374199,-1.5654513740687834
2009-01-14,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005533288232982159,-1,0.016283614560961723,1,-0.016283614560961723,0.0010239326220471412,,,,0,-162.83614560961723,-0.01819085329771042,0.0045303646475076675,-0.005533288232982159,0.7915411764355298
2009-01-15,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0064387572929263115,-1,0.01093602366745472,1,-0.01093602366745472,-0.009912091045407578,,,,0,-109.3602366745472,-0.01373114064335823,-0.006897205486893654,-0.0064387572929263115,0.6052141544043578
2009-01-16,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.00022411532700061798,-1,-0.05089988932013512,-1,0.05089988932013512,0.04098779827472754,,,,1,508.99889320135117,-0.010162286460399628,-0.010592788457870483,-0.00022411532700061798,-2.823098035338528
2009-01-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.00218869186937809,-1,0.0416802279651165,1,-0.0416802279651165,-0.0006924296903889626,,,,0,-416.802279651165,-0.03231421858072281,0.04749481379985809,-0.00218869186937809,1.9894501200614343
2009-01-21,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0029729814268648624,-1,-0.013469614088535309,-1,0.013469614088535309,0.012777184398146346,,,,1,134.6961408853531,-0.013364836573600769,0.04034192115068436,-0.0029729814268648624,-0.5892937199583155
2009-01-22,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.0017983554862439632,1,0.004856044892221689,1,0.004856044892221689,0.017633229290368035,,,,1,48.56044892221689,-0.025585860013961792,0.02811305969953537,0.0017983554862439632,0.21559962684167613
2009-01-23,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.009467140771448612,-1,0.00724044069647789,1,-0.00724044069647789,0.010392788593890145,,,,0,-72.4044069647789,-0.024736791849136353,0.005520956590771675,-0.009467140771448612,0.32150893117112656
2009-01-26,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005404886789619923,-1,0.007187714800238609,1,-0.007187714800238609,0.003205073793651536,,,,0,-71.8771480023861,-0.0320625826716423,0.01025271974503994,-0.005404886789619923,0.318464132859641
