date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater,pred_ret_1d
2025-12-01,1.000000,1,1,0.007796,0.007796,0.007796,1,1007.826000,1007.826000,0.000000,0.782600,0.782600,0.000000,0.000000,0,0.003103
2025-12-02,1.000000,1,1,0.002441,0.002441,0.002441,1,1010.288900,1010.288900,0.000000,1.028900,1.028900,0.000000,0.000000,0,0.003103
2025-12-03,1.000000,1,1,-0.000931,-0.000931,-0.000931,0,1009.349200,1009.349200,0.000000,0.934900,0.934900,0.000000,-0.093000,1,0.003103
2025-12-04,1.000000,1,1,0.004069,0.004069,0.004069,1,1013.464700,1013.464700,0.000000,1.346500,1.346500,0.000000,0.000000,0,0.003103
2025-12-05,1.000000,1,1,-0.001920,-0.001920,-0.001920,0,1011.520300,1011.520300,0.000000,1.152000,1.152000,0.000000,-0.191900,1,0.003103
2025-12-08,1.000000,1,1,0.001233,0.001233,0.001233,1,1012.767900,1012.767900,0.000000,1.276800,1.276800,0.000000,-0.068800,1,0.003103
2025-12-09,1.000000,1,1,0.004087,0.004087,0.004087,1,1016.915900,1016.915900,0.000000,1.691600,1.691600,0.000000,0.000000,0,0.003103
2025-12-10,1.000000,1,1,-0.003240,-0.003240,-0.003240,0,1013.626800,1013.626800,0.000000,1.362700,1.362700,0.000000,-0.323400,1,0.003103
2025-12-11,1.000000,1,1,-0.019303,-0.019303,-0.019303,0,994.248000,994.248000,0.000000,-0.575200,-0.575200,0.000000,-2.229100,1,0.003103
2025-12-12,1.000000,1,1,-0.005032,-0.005032,-0.005032,0,989.257500,989.257500,0.000000,-1.074200,-1.074200,0.000000,-2.719800,1,0.003103
2025-12-15,1.000000,1,1,0.001980,0.001980,0.001980,1,991.218000,991.218000,0.000000,-0.878200,-0.878200,0.000000,-2.527000,1,0.003103
2025-12-16,1.000000,1,1,-0.018711,-0.018711,-0.018711,0,972.843800,972.843800,0.000000,-2.715600,-2.715600,0.000000,-4.333900,1,0.003103
2025-12-17,1.000000,1,1,0.014386,0.014386,0.014386,1,986.940400,986.940400,0.000000,-1.306000,-1.306000,0.000000,-2.947700,1,0.003103
2025-12-18,1.000000,1,1,0.012951,0.012951,0.012951,1,999.805700,999.805700,0.000000,-0.019400,-0.019400,0.000000,-1.682600,1,0.003103
2025-12-19,1.000000,1,1,0.004782,0.004782,0.004782,1,1004.598200,1004.598200,0.000000,0.459800,0.459800,0.000000,-1.211300,1,0.003103
2025-12-22,1.000000,1,1,0.004672,0.004672,0.004672,1,1009.303000,1009.303000,0.000000,0.930300,0.930300,0.000000,-0.748600,1,0.003103
2025-12-23,1.000000,1,1,0.002921,0.002921,0.002921,1,1012.255800,1012.255800,0.000000,1.225600,1.225600,0.000000,-0.458300,1,0.003103
2025-12-24,1.000000,1,1,-0.000064,-0.000064,-0.000064,0,1012.190900,1012.190900,0.000000,1.219100,1.219100,0.000000,-0.464600,1,0.003103
2025-12-26,1.000000,1,1,-0.004852,-0.004852,-0.004852,0,1007.291300,1007.291300,0.000000,0.729100,0.729100,0.000000,-0.946400,1,0.003103
2025-12-29,1.000000,1,1,-0.002322,-0.002322,-0.002322,0,1004.955000,1004.955000,0.000000,0.495500,0.495500,0.000000,-1.176200,1,0.003103
2025-12-30,1.000000,1,1,-0.008300,-0.008300,-0.008300,0,996.648400,996.648400,0.000000,-0.335200,-0.335200,0.000000,-1.993000,1,0.003103
2025-12-31,1.000000,1,1,-0.001939,-0.001939,-0.001939,0,994.717800,994.717800,0.000000,-0.528200,-0.528200,0.000000,-2.182900,1,0.003103
2026-01-02,1.000000,1,1,0.007912,0.007912,0.007912,1,1002.618800,1002.618800,0.000000,0.261900,0.261900,0.000000,-1.405900,1,0.003103
2026-01-05,1.000000,1,1,0.008748,0.008748,0.008748,1,1011.428300,1011.428300,0.000000,1.142800,1.142800,0.000000,-0.539600,1,0.003103
2026-01-06,1.000000,1,1,0.000962,0.000962,0.000962,1,1012.401900,1012.401900,0.000000,1.240200,1.240200,0.000000,-0.443900,1,0.003103
2026-01-07,1.000000,1,1,-0.005705,-0.005705,-0.005705,0,1006.642300,1006.642300,0.000000,0.664200,0.664200,0.000000,-1.010300,1,0.003103
2026-01-08,1.000000,1,1,0.009911,0.009911,0.009911,1,1016.668700,1016.668700,0.000000,1.666900,1.666900,0.000000,-0.024300,1,0.003103
2026-01-09,1.000000,1,1,0.000829,0.000829,0.000829,1,1017.512300,1017.512300,0.000000,1.751200,1.751200,0.000000,0.000000,0,0.003103
2026-01-12,1.000000,1,1,-0.001484,-0.001484,-0.001484,0,1016.003500,1016.003500,0.000000,1.600400,1.600400,0.000000,-0.148300,1,0.003103
2026-01-13,1.000000,1,1,-0.010740,-0.010740,-0.010740,0,1005.149700,1005.149700,0.000000,0.515000,0.515000,0.000000,-1.215000,1,0.003103
2026-01-14,1.000000,1,1,0.003593,0.003593,0.003593,1,1008.767700,1008.767700,0.000000,0.876800,0.876800,0.000000,-0.859400,1,0.003103
2026-01-15,1.000000,1,1,-0.000837,-0.000837,-0.000837,0,1007.924100,1007.924100,0.000000,0.792400,0.792400,0.000000,-0.942300,1,0.003103
2026-01-16,1.000000,1,1,-0.021476,-0.021476,-0.021476,0,986.508500,986.508500,0.000000,-1.349100,-1.349100,0.000000,-3.047000,1,0.003103
2026-01-20,1.000000,1,1,0.013428,0.013428,0.013428,1,999.844500,999.844500,0.000000,-0.015500,-0.015500,0.000000,-1.736400,1,0.003103
2026-01-21,1.000000,1,1,0.007243,0.007243,0.007243,1,1007.112800,1007.112800,0.000000,0.711300,0.711300,0.000000,-1.022100,1,0.003103
2026-01-22,1.000000,1,1,0.003152,0.003152,0.003152,1,1010.292700,1010.292700,0.000000,1.029300,1.029300,0.000000,-0.709500,1,0.003103
2026-01-23,1.000000,1,1,0.004390,0.004390,0.004390,1,1014.738100,1014.738100,0.000000,1.473800,1.473800,0.000000,-0.272600,1,0.003103
2026-01-26,1.000000,1,1,0.009024,0.009024,0.009024,1,1023.937000,1023.937000,0.000000,2.393700,2.393700,0.000000,0.000000,0,0.003103
2026-01-27,1.000000,1,1,0.003306,0.003306,0.003306,1,1027.327700,1027.327700,0.000000,2.732800,2.732800,0.000000,0.000000,0,0.003103
2026-01-28,1.000000,1,1,-0.006003,-0.006003,-0.006003,0,1021.178900,1021.178900,0.000000,2.117900,2.117900,0.000000,-0.598500,1,0.003103
2026-01-29,1.000000,1,1,-0.012084,-0.012084,-0.012084,0,1008.913700,1008.913700,0.000000,0.891400,0.891400,0.000000,-1.792400,1,0.003103
2026-01-30,1.000000,1,1,0.006843,0.006843,0.006843,1,1015.841300,1015.841300,0.000000,1.584100,1.584100,0.000000,-1.118100,1,0.003103
2026-02-02,1.000000,1,1,-0.015483,-0.015483,-0.015483,0,1000.233900,1000.233900,0.000000,0.023400,0.023400,0.000000,-2.637300,1,0.003103
2026-02-03,1.000000,1,1,-0.017623,-0.017623,-0.017623,0,982.760800,982.760800,0.000000,-1.723900,-1.723900,0.000000,-4.338100,1,0.003103
2026-02-04,1.000000,1,1,-0.014500,-0.014500,-0.014500,0,968.613700,968.613700,0.000000,-3.138600,-3.138600,0.000000,-5.715200,1,0.003103
2026-02-05,1.000000,1,1,0.020918,0.020918,0.020918,1,989.088100,989.088100,0.000000,-1.091200,-1.091200,0.000000,-3.722200,1,0.003103
2026-02-06,1.000000,1,1,0.007631,0.007631,0.007631,1,996.664700,996.664700,0.000000,-0.333500,-0.333500,0.000000,-2.984700,1,0.003103
2026-02-09,1.000000,1,1,-0.004650,-0.004650,-0.004650,0,992.040800,992.040800,0.000000,-0.795900,-0.795900,0.000000,-3.434800,1,0.003103
2026-02-10,1.000000,1,1,0.002678,0.002678,0.002678,1,994.701600,994.701600,0.000000,-0.529800,-0.529800,0.000000,-3.175800,1,0.003103
2026-02-11,1.000000,1,1,-0.020549,-0.020549,-0.020549,0,974.470400,974.470400,0.000000,-2.553000,-2.553000,0.000000,-5.145100,1,0.003103
2026-02-12,1.000000,1,1,0.002129,0.002129,0.002129,1,976.547100,976.547100,0.000000,-2.345300,-2.345300,0.000000,-4.943000,1,0.003103
2026-02-13,1.000000,1,1,-0.001031,-0.001031,-0.001031,0,975.541100,975.541100,0.000000,-2.445900,-2.445900,0.000000,-5.040900,1,0.003103
2026-02-17,1.000000,1,1,0.007439,0.007439,0.007439,1,982.825700,982.825700,0.000000,-1.717400,-1.717400,0.000000,-4.331800,1,0.003103
2026-02-18,1.000000,1,1,-0.003837,-0.003837,-0.003837,0,979.061700,979.061700,0.000000,-2.093800,-2.093800,0.000000,-4.698200,1,0.003103
2026-02-19,1.000000,1,1,0.008810,0.008810,0.008810,1,987.725300,987.725300,0.000000,-1.227500,-1.227500,0.000000,-3.854900,1,0.003103
2026-02-20,1.000000,1,1,-0.012229,-0.012229,-0.012229,0,975.719600,975.719600,0.000000,-2.428000,-2.428000,0.000000,-5.023500,1,0.003103
2026-02-23,1.000000,1,1,0.010684,0.010684,0.010684,1,986.200300,986.200300,0.000000,-1.380000,-1.380000,0.000000,-4.003300,1,0.003103
2026-02-24,1.000000,1,1,0.014389,0.014389,0.014389,1,1000.493500,1000.493500,0.000000,0.049400,0.049400,0.000000,-2.612000,1,0.003103
2026-02-25,1.000000,1,1,-0.012138,-0.012138,-0.012138,0,988.422900,988.422900,0.000000,-1.157700,-1.157700,0.000000,-3.787000,1,0.003103
2026-02-26,1.000000,1,1,-0.003206,-0.003206,-0.003206,0,985.259200,985.259200,0.000000,-1.474100,-1.474100,0.000000,-4.094900,1,0.003103
2026-02-27,1.000000,1,1,0.001316,0.001316,0.001316,1,986.557200,986.557200,0.000000,-1.344300,-1.344300,0.000000,-3.968600,1,0.003103
2026-03-02,1.000000,1,1,-0.010763,-0.010763,-0.010763,0,975.995500,975.995500,0.000000,-2.400400,-2.400400,0.000000,-4.996700,1,0.003103
2026-03-03,1.000000,1,1,0.015128,0.015128,0.015128,1,990.872800,990.872800,0.000000,-0.912700,-0.912700,0.000000,-3.548500,1,0.003103
2026-03-04,1.000000,1,1,-0.003017,-0.003017,-0.003017,0,987.887400,987.887400,0.000000,-1.211300,-1.211300,0.000000,-3.839100,1,0.003103
2026-03-05,1.000000,1,1,-0.015158,-0.015158,-0.015158,0,973.026400,973.026400,0.000000,-2.697400,-2.697400,0.000000,-5.285700,1,0.003103
2026-03-06,1.000000,1,1,0.013267,0.013267,0.013267,1,986.021800,986.021800,0.000000,-1.397800,-1.397800,0.000000,-4.020700,1,0.003103
2026-03-09,1.000000,1,1,0.000016,0.000016,0.000016,1,986.038100,986.038100,0.000000,-1.396200,-1.396200,0.000000,-4.019100,1,0.003103
2026-03-10,1.000000,1,1,-0.000132,-0.000132,-0.000132,0,985.908300,985.908300,0.000000,-1.409200,-1.409200,0.000000,-4.031800,1,0.003103
2026-03-11,1.000000,1,1,-0.017312,-0.017312,-0.017312,0,968.986800,968.986800,0.000000,-3.101300,-3.101300,0.000000,-5.678900,1,0.003103
2026-03-12,1.000000,1,1,-0.005945,-0.005945,-0.005945,0,963.243400,963.243400,0.000000,-3.675700,-3.675700,0.000000,-6.238000,1,0.003103
2026-03-13,1.000000,1,1,0.011155,0.011155,0.011155,1,974.048500,974.048500,0.000000,-2.595200,-2.595200,0.000000,-5.186200,1,0.003103
2026-03-16,1.000000,1,1,0.004868,0.004868,0.004868,1,978.802200,978.802200,0.000000,-2.119800,-2.119800,0.000000,-4.723500,1,0.003103
2026-03-17,1.000000,1,1,-0.014038,-0.014038,-0.014038,0,965.158000,965.158000,0.000000,-3.484200,-3.484200,0.000000,-6.051600,1,0.003103
2026-03-18,1.000000,1,1,-0.003165,-0.003165,-0.003165,0,962.107800,962.107800,0.000000,-3.789200,-3.789200,0.000000,-6.348500,1,0.003103
2026-03-19,1.000000,1,1,-0.018655,-0.018655,-0.018655,0,944.326400,944.326400,0.000000,-5.567400,-5.567400,0.000000,-8.079300,1,0.003103
2026-03-20,1.000000,1,1,0.011414,0.011414,0.011414,1,955.166300,955.166300,0.000000,-4.483400,-4.483400,0.000000,-7.024200,1,0.003103
2026-03-23,1.000000,1,1,-0.006860,-0.006860,-0.006860,0,948.636000,948.636000,0.000000,-5.136400,-5.136400,0.000000,-7.659800,1,0.003103
2026-03-24,1.000000,1,1,0.006554,0.006554,0.006554,1,954.873900,954.873900,0.000000,-4.512600,-4.512600,0.000000,-7.052600,1,0.003103
2026-03-25,1.000000,1,1,-0.024157,-0.024157,-0.024157,0,932.083100,932.083100,0.000000,-6.791700,-6.791700,0.000000,-9.271100,1,0.003103
2026-03-26,1.000000,1,1,-0.019730,-0.019730,-0.019730,0,913.873300,913.873300,0.000000,-8.612700,-8.612700,0.000000,-11.043600,1,0.003103
2026-03-27,1.000000,1,1,-0.007673,-0.007673,-0.007673,0,906.888200,906.888200,0.000000,-9.311200,-9.311200,0.000000,-11.723600,1,0.003103
2026-03-30,1.000000,1,1,0.033293,0.033293,0.033293,1,937.589900,937.589900,0.000000,-6.241000,-6.241000,0.000000,-8.735100,1,0.003103
2026-03-31,1.000000,1,1,0.012277,0.012277,0.012277,1,949.172100,949.172100,0.000000,-5.082800,-5.082800,0.000000,-7.607700,1,0.003103
2026-04-01,1.000000,1,1,0.001146,0.001146,0.001146,1,950.260500,950.260500,0.000000,-4.974000,-4.974000,0.000000,-7.501700,1,0.003103
2026-04-02,1.000000,1,1,0.005999,0.005999,0.005999,1,955.978500,955.978500,0.000000,-4.402100,-4.402100,0.000000,-6.945100,1,0.003103
2026-04-06,1.000000,1,1,0.000153,0.000153,0.000153,1,956.124800,956.124800,0.000000,-4.387500,-4.387500,0.000000,-6.930900,1,0.003103
2026-04-07,1.000000,1,1,0.029299,0.029299,0.029299,1,984.552300,984.552300,0.000000,-1.544800,-1.544800,0.000000,-4.163800,1,0.003103
2026-04-08,1.000000,1,1,0.006742,0.006742,0.006742,1,991.212500,991.212500,0.000000,-0.878800,-0.878800,0.000000,-3.515500,1,0.003103
2026-04-09,1.000000,1,1,0.001441,0.001441,0.001441,1,992.642000,992.642000,0.000000,-0.735800,-0.735800,0.000000,-3.376300,1,0.003103
2026-04-10,1.000000,1,1,0.010289,0.010289,0.010289,1,1002.908400,1002.908400,0.000000,0.290800,0.290800,0.000000,-2.377000,1,0.003103
2026-04-13,1.000000,1,1,0.017994,0.017994,0.017994,1,1021.118200,1021.118200,0.000000,2.111800,2.111800,0.000000,-0.604400,1,0.003103
2026-04-14,1.000000,1,1,0.013902,0.013902,0.013902,1,1035.413300,1035.413300,0.000000,3.541300,3.541300,0.000000,0.000000,0,0.003103
2026-04-15,1.000000,1,1,0.004805,0.004805,0.004805,1,1040.400200,1040.400200,0.000000,4.040000,4.040000,0.000000,0.000000,0,0.003103
2026-04-16,1.000000,1,1,0.012999,0.012999,0.012999,1,1054.013000,1054.013000,0.000000,5.401300,5.401300,0.000000,0.000000,0,0.003103
