date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps,B_pred,B_actual,D_pred,D_actual
2008-10-14,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.015394140034914017,-1,-0.09382425993680954,-1,0.09382425993680954,0.09382425993680954,,,,1,938.2425993680954,-0.015521367080509663,-0.06547101587057114,-0.015394140034914017,-2.109097253039619
2008-10-15,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011920545250177383,-1,0.05282853543758392,1,-0.05282853543758392,0.040995724499225616,,,,0,-528.2853543758392,0.017091672867536545,0.0003273205365985632,-0.011920545250177383,1.1070436320743604
2008-10-16,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.016462277621030807,-1,0.0012392186326906085,1,-0.0012392186326906085,0.03975650586653501,,,,0,-12.392186326906085,0.015490165911614895,-0.05642925575375557,-0.016462277621030807,0.02550105319463656
2008-10-17,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011637397110462189,-1,0.027482815086841583,1,-0.027482815086841583,0.012273690779693425,,,,0,-274.82815086841583,0.016008028760552406,-0.09033822268247604,-0.011637397110462189,0.5718398491366828
2008-10-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.01831308752298355,-1,-0.05319732427597046,-1,0.05319732427597046,0.06547101505566388,,,,1,531.9732427597046,0.01031506061553955,-0.14600127935409546,-0.01831308752298355,-1.12620021320199
2008-10-21,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.020008552819490433,-1,-0.028025925159454346,-1,0.028025925159454346,0.09349694021511823,,,,1,280.25925159454346,0.019404500722885132,0.011998527683317661,-0.020008552819490433,-0.5757042442051474
2008-10-22,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.014285624027252197,-1,-0.003928040619939566,-1,0.003928040619939566,0.0974249808350578,,,,1,39.28040619939566,0.018741946667432785,0.037510186433792114,-0.014285624027252197,-0.08006814480336048
2008-10-23,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.010937795042991638,-1,-0.03266974538564682,-1,0.03266974538564682,0.13009472622070462,,,,1,326.6974538564682,0.01821337454020977,0.07424870133399963,-0.010937795042991638,-0.6675545237896594
2008-10-24,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.015173584222793579,-1,-0.028180237859487534,-1,0.028180237859487534,0.15827496408019215,,,,1,281.80237859487534,0.01852451078593731,0.10843947529792786,-0.015173584222793579,-0.5701113436673966
2008-10-27,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.012416694313287735,-1,0.10480247437953949,1,-0.10480247437953949,0.05347248970065266,,,,0,-1048.024743795395,0.022152744233608246,0.13448895514011383,-0.012416694313287735,2.264899617614946
2008-10-28,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.019399873912334442,-1,-0.002514267573133111,-1,0.002514267573133111,0.05598675727378577,,,,1,25.14267573133111,-0.013969155959784985,0.05762910470366478,-0.019399873912334442,-0.048841884986909896
2008-10-29,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.030024468898773193,-1,0.03281047195196152,1,-0.03281047195196152,0.023176285321824253,,,,0,-328.1047195196152,-0.013055545277893543,0.006586431059986353,-0.030024468898773193,0.6380102978731311
2008-10-30,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.020284201949834824,-1,0.0015210297424346209,1,-0.0015210297424346209,0.021655255579389632,,,,0,-15.210297424346209,-0.04971352219581604,-0.07195529341697693,-0.020284201949834824,0.029885778865258273
2008-10-31,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.022701337933540344,-1,-0.002130764303728938,-1,0.002130764303728938,0.02378601988311857,,,,1,21.30764303728938,-0.05691557005047798,-0.05307116359472275,-0.022701337933540344,-0.04196421772856818
2008-11-03,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.02060401812195778,-1,0.027942635118961334,1,-0.027942635118961334,-0.004156615235842764,,,,0,-279.42635118961334,-0.023978792130947113,-0.06449751555919647,-0.02060401812195778,0.5578122188998867
2008-11-04,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.01567191258072853,-1,-0.05355694144964218,-1,0.05355694144964218,0.04940032621379942,,,,1,535.5694144964218,-0.060557425022125244,-0.11445481330156326,-0.01567191258072853,-1.1086007483566258
2008-11-05,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.008014045655727386,-1,-0.04573125019669533,-1,0.04573125019669533,0.09513157641049474,,,,1,457.3125019669533,-0.0064849648624658585,-0.10817801207304001,-0.008014045655727386,-0.9193969803721691
2008-11-06,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.014407742768526077,-1,0.020405156537890434,1,-0.020405156537890434,0.07472641987260431,,,,0,-204.05156537890434,0.004756256937980652,-0.0032778142485767603,-0.014407742768526077,0.4047481996307721
2008-11-07,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.004570651799440384,-1,-0.013557118363678455,-1,0.013557118363678455,0.08828353823628277,,,,1,135.57118363678455,-0.008346411399543285,-0.07349137961864471,-0.004570651799440384,-0.26792465922922915
2008-11-10,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005954243242740631,-1,-0.022014662623405457,-1,0.022014662623405457,0.11029820085968822,,,,1,220.14662623405457,0.012795648537576199,-0.08120820671319962,-0.005954243242740631,-0.5036393665804041
2008-11-11,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.007621202617883682,-1,-0.04728014022111893,-1,0.04728014022111893,0.15757834108080715,,,,1,472.80140221118927,0.013130147941410542,-0.060251399874687195,-0.007621202617883682,-1.1031007637312877
2008-11-12,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.004535660147666931,-1,0.05916894972324371,1,-0.05916894972324371,0.09840939135756344,,,,0,-591.6894972324371,0.020809035748243332,-0.06660705804824829,-0.004535660147666931,1.5233259617194848
2008-11-13,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.015421554446220398,-1,-0.04980840906500816,-1,0.04980840906500816,0.1482178004225716,,,,1,498.08409065008163,-0.01809103600680828,-0.1753859519958496,-0.015421554446220398,-1.2675075099672721
2008-11-14,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.010181784629821777,-1,-0.02127394825220108,-1,0.02127394825220108,0.16949174867477268,,,,1,212.7394825220108,0.020946234464645386,-0.0830669030547142,-0.010181784629821777,-0.5208683941068185
2008-11-17,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.008617587387561798,-1,-0.001057852292433381,-1,0.001057852292433381,0.17054960096720606,,,,1,10.57852292433381,0.02405347302556038,-0.0024704299867153168,-0.008617587387561798,-0.02601861775965601
2008-11-18,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005070891231298447,-1,-0.05363579839468002,-1,0.05363579839468002,0.22418539936188608,,,,1,536.3579839468002,0.023845886811614037,-0.0060164593160152435,-0.005070891231298447,-1.3795502580863528
2008-11-19,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.006270498037338257,-1,-0.049609940499067307,-1,0.049609940499067307,0.2737953398609534,,,,1,496.09940499067307,0.01986563205718994,0.08865413069725037,-0.006270498037338257,-1.234032731259152
2008-11-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.007738515734672546,-1,0.042510632425546646,1,-0.042510632425546646,0.23128470743540674,,,,0,-425.10632425546646,0.02405635453760624,0.13039687275886536,-0.007738515734672546,1.0195702067929981
