date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps,B_pred,B_actual,D_pred,D_actual
2008-10-14,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.013114793226122856,1,-0.09382425993680954,-1,-0.09382425993680954,-0.09382425993680954,,,,0,-938.2425993680954,-0.0077575575560331345,-0.06547101587057114,0.013114793226122856,-2.109097253039619
2008-10-15,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.028714392334222794,1,0.05282853543758392,1,0.05282853543758392,-0.040995724499225616,,,,1,528.2853543758392,0.004143368452787399,0.0003273205365985632,0.028714392334222794,1.1070436320743604
2008-10-16,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.021459896117448807,1,0.0012392186326906085,1,0.0012392186326906085,-0.03975650586653501,,,,1,12.392186326906085,-0.0016421657055616379,-0.05642925575375557,0.021459896117448807,0.02550105319463656
2008-10-17,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.01645529642701149,1,0.027482815086841583,1,0.027482815086841583,-0.012273690779693425,,,,1,274.82815086841583,-0.009029800072312355,-0.09033822268247604,0.01645529642701149,0.5718398491366828
2008-10-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.00048242323100566864,1,-0.05319732427597046,-1,-0.05319732427597046,-0.06547101505566388,,,,0,-531.9732427597046,-0.00763997808098793,-0.14600127935409546,0.00048242323100566864,-1.12620021320199
2008-10-21,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005479916930198669,-1,-0.028025925159454346,-1,0.028025925159454346,-0.03744508989620954,,,,1,280.25925159454346,0.011130839586257935,0.011998527683317661,-0.005479916930198669,-0.5757042442051474
2008-10-22,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.015080668032169342,1,-0.003928040619939566,-1,-0.003928040619939566,-0.041373130516149104,,,,0,-39.28040619939566,0.026125863194465637,0.037510186433792114,0.015080668032169342,-0.08006814480336048
2008-10-23,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.01516437716782093,1,-0.03266974538564682,-1,-0.03266974538564682,-0.07404287590179592,,,,0,-326.6974538564682,0.021319221705198288,0.07424870133399963,0.01516437716782093,-0.6675545237896594
2008-10-24,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.006009256467223167,1,-0.028180237859487534,-1,-0.028180237859487534,-0.10222311376128346,,,,0,-281.80237859487534,0.03960658609867096,0.10843947529792786,0.006009256467223167,-0.5701113436673966
2008-10-27,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.02090035006403923,1,0.10480247437953949,1,0.10480247437953949,0.0025793606182560325,,,,1,1048.024743795395,0.03145022317767143,0.13448895514011383,0.02090035006403923,2.264899617614946
2008-10-28,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.014323774725198746,1,-0.002514267573133111,-1,-0.002514267573133111,6.509304512292147e-05,,,,0,-25.14267573133111,0.01480942778289318,0.05762910470366478,0.014323774725198746,-0.048841884986909896
2008-10-29,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.013325583189725876,-1,0.03281047195196152,1,-0.03281047195196152,-0.032745378906838596,,,,0,-328.1047195196152,0.0005539879202842712,0.006586431059986353,-0.013325583189725876,0.6380102978731311
2008-10-30,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.009889702312648296,1,0.0015210297424346209,1,0.0015210297424346209,-0.031224349164403975,,,,1,15.210297424346209,-0.005285026505589485,-0.07195529341697693,0.009889702312648296,0.029885778865258273
2008-10-31,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.004291089251637459,-1,-0.002130764303728938,-1,0.002130764303728938,-0.029093584860675037,,,,1,21.30764303728938,-0.031786270439624786,-0.05307116359472275,-0.004291089251637459,-0.04196421772856818
2008-11-03,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.008329282514750957,1,0.027942635118961334,1,0.027942635118961334,-0.0011509497417137027,,,,1,279.42635118961334,-0.025611935183405876,-0.06449751555919647,0.008329282514750957,0.5578122188998867
2008-11-04,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.005441658198833466,-1,-0.05355694144964218,-1,0.05355694144964218,0.05240599170792848,,,,1,535.5694144964218,-0.041114673018455505,-0.11445481330156326,-0.005441658198833466,-1.1086007483566258
2008-11-05,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.00721292570233345,-1,-0.04573125019669533,-1,0.04573125019669533,0.0981372419046238,,,,1,457.3125019669533,-0.018908830359578133,-0.10817801207304001,-0.00721292570233345,-0.9193969803721691
2008-11-06,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0009935200214385986,-1,0.020405156537890434,1,-0.020405156537890434,0.07773208536673337,,,,0,-204.05156537890434,-0.01593942753970623,-0.0032778142485767603,-0.0009935200214385986,0.4047481996307721
2008-11-07,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.005251642316579819,1,-0.013557118363678455,-1,-0.013557118363678455,0.06417496700305492,,,,0,-135.57118363678455,-0.012961497530341148,-0.07349137961864471,0.005251642316579819,-0.26792465922922915
2008-11-10,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.0008996650576591492,-1,-0.022014662623405457,-1,0.022014662623405457,0.08618962962646037,,,,1,220.14662623405457,-0.006935397163033485,-0.08120820671319962,-0.0008996650576591492,-0.5036393665804041
2008-11-11,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.007829356007277966,1,-0.04728014022111893,-1,-0.04728014022111893,0.038909489405341446,,,,0,-472.80140221118927,-0.004169495776295662,-0.060251399874687195,0.007829356007277966,-1.1031007637312877
2008-11-12,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.006076948717236519,1,0.05916894972324371,1,0.05916894972324371,0.09807843912858516,,,,1,591.6894972324371,0.031536251306533813,-0.06660705804824829,0.006076948717236519,1.5233259617194848
2008-11-13,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.006641604006290436,1,-0.04980840906500816,-1,-0.04980840906500816,0.048270030063576996,,,,0,-498.08409065008163,0.016540396958589554,-0.1753859519958496,0.006641604006290436,-1.2675075099672721
2008-11-14,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.006021061912178993,1,-0.02127394825220108,-1,-0.02127394825220108,0.026996081811375916,,,,0,-212.7394825220108,0.023698074743151665,-0.0830669030547142,0.006021061912178993,-0.5208683941068185
2008-11-17,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.0263912882655859,1,-0.001057852292433381,-1,-0.001057852292433381,0.025938229518942535,,,,0,-10.57852292433381,0.03771732375025749,-0.0024704299867153168,0.0263912882655859,-0.02601861775965601
2008-11-18,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.02479224093258381,1,-0.05363579839468002,-1,-0.05363579839468002,-0.02769756887573749,,,,0,-536.3579839468002,0.026494285091757774,-0.0060164593160152435,0.02479224093258381,-1.3795502580863528
2008-11-19,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.029520899057388306,1,-0.049609940499067307,-1,-0.049609940499067307,-0.0773075093748048,,,,0,-496.09940499067307,0.036485567688941956,0.08865413069725037,0.029520899057388306,-1.234032731259152
2008-11-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.039190009236335754,1,0.042510632425546646,1,0.042510632425546646,-0.03479687694925815,,,,1,425.10632425546646,0.043582234531641006,0.13039687275886536,0.039190009236335754,1.0195702067929981
2008-11-21,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.027669906616210938,1,0.059322528541088104,1,0.059322528541088104,0.024525651591829956,,,,1,593.225285410881,0.034266553819179535,0.009702088311314583,0.027669906616210938,1.4078845529535253
2008-11-24,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.006952296942472458,-1,-0.0046038818545639515,-1,0.0046038818545639515,0.029129533446393907,,,,1,46.038818545639515,-0.0018988773226737976,-0.016746971756219864,-0.006952296942472458,-0.10529690246968396
2008-11-25,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.015982042998075485,1,0.04103479161858559,1,0.04103479161858559,0.0701643250649795,,,,1,410.34791618585587,-0.0033743567764759064,0.015847941860556602,0.015982042998075485,1.111254334073887
2008-11-26,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.013154212385416031,-1,-0.007867200300097466,-1,0.007867200300097466,0.07803152536507696,,,,1,78.67200300097466,-0.011393031105399132,-0.053896866738796234,-0.013154212385416031,-0.2067849103956423
2008-11-28,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),0.010168315842747688,1,-0.07818415015935898,-1,-0.07818415015935898,-0.00015262479428201914,,,,0,-781.8415015935898,-0.021917345002293587,-0.0062005408108234406,0.010168315842747688,-2.0920149030097552
