date,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,correct,pnl_bps
2008-12-24,-1,-1,-0.0003429576390683309,-1,0.0003429576390683309,0.0003429576390683309,1,3.4295763906833088
2008-12-26,-1,-1,-0.008273275393674506,-1,0.008273275393674506,0.008616233032742837,1,82.73275393674507
2008-12-29,-1,-1,0.020555761880902246,1,-0.020555761880902246,-0.011939528848159409,0,-205.55761880902247
2008-12-30,-1,-1,0.008441665573091228,1,-0.008441665573091228,-0.020381194421250637,0,-84.41665573091228
2008-12-31,1,1,0.04246168949854967,1,0.04246168949854967,0.022080495077299034,1,424.6168949854967
2009-01-02,-1,-1,-0.00032235000409830405,-1,0.00032235000409830405,0.022402845081397338,1,3.2235000409830405
2009-01-05,-1,-1,0.009943718123169631,1,-0.009943718123169631,0.012459126958227706,0,-99.43718123169631
2009-01-06,-1,-1,-0.028818405172124084,-1,0.028818405172124084,0.04127753213035179,1,288.18405172124085
2009-01-07,-1,-1,0.010457552174425455,1,-0.010457552174425455,0.030819979955926335,0,-104.57552174425456
2009-01-08,-1,-1,-0.022687105089987725,-1,0.022687105089987725,0.05350708504591406,1,226.87105089987725
2009-01-09,-1,-1,-0.018459820902113844,-1,0.018459820902113844,0.0719669059480279,1,184.59820902113844
2009-01-12,1,1,0.00033880159830967926,1,0.00033880159830967926,0.07230570754633758,1,3.3880159830967926
2009-01-13,-1,-1,-0.030951957814110198,-1,0.030951957814110198,0.10325766536044778,1,309.519578141102
2009-01-14,1,1,0.01628361479321594,1,0.01628361479321594,0.11954128015366372,1,162.8361479321594
2009-01-15,1,1,0.010936023349044977,1,0.010936023349044977,0.1304773035027087,1,109.36023349044976
2009-01-16,1,1,-0.05089988844149396,-1,-0.05089988844149396,0.07957741506121474,0,-508.99888441493954
2009-01-20,1,1,0.04168022834348184,1,0.04168022834348184,0.12125764340469658,1,416.8022834348184
2009-01-21,1,1,-0.01346961362565402,-1,-0.01346961362565402,0.10778802977904256,0,-134.6961362565402
2009-01-22,1,1,0.004856044932055603,1,0.004856044932055603,0.11264407471109816,1,48.56044932055603
2009-01-23,-1,-1,0.007240440580185137,1,-0.007240440580185137,0.10540363413091303,0,-72.40440580185137
2009-01-26,-1,-1,0.007187714949101309,1,-0.007187714949101309,0.09821591918181172,0,-71.87714949101309
2009-01-27,-1,-1,0.03452733519684026,1,-0.03452733519684026,0.06368858398497146,0,-345.2733519684026
2009-01-28,-1,-1,-0.025698475644373886,-1,0.025698475644373886,0.08938705962934534,1,256.9847564437389
2009-01-29,1,1,-0.017736058563519563,-1,-0.017736058563519563,0.07165100106582578,0,-177.36058563519563
2009-01-30,-1,-1,0.011972203581032126,1,-0.011972203581032126,0.059678797484793655,0,-119.72203581032126
2009-02-02,-1,-1,0.01551995160051911,1,-0.01551995160051911,0.044158845884274545,0,-155.1995160051911
2009-02-03,-1,-1,0.001338362198159082,1,-0.001338362198159082,0.04282048368611546,0,-13.38362198159082
2009-02-04,-1,-1,0.021826491923933933,1,-0.021826491923933933,0.02099399176218153,0,-218.26491923933932
2009-02-05,-1,-1,0.025832452585460963,1,-0.025832452585460963,-0.0048384608232794335,0,-258.32452585460965
2009-02-06,-1,-1,0.0041354789060998876,1,-0.0041354789060998876,-0.008973939729379321,0,-41.354789060998876
2009-02-09,1,1,-0.03752027134356961,-1,-0.03752027134356961,-0.04649421107294893,0,-375.2027134356961
2009-02-10,1,1,-0.004625031886766884,-1,-0.004625031886766884,-0.051119242959715816,0,-46.25031886766884
2009-02-11,1,1,0.012177371738775644,1,0.012177371738775644,-0.03894187122094017,1,121.77371738775645
2009-02-12,-1,-1,-0.0045904441138984176,-1,0.0045904441138984176,-0.034351427107041754,1,45.904441138984176
2009-02-13,1,1,-0.04057569548419515,-1,-0.04057569548419515,-0.0749271225912369,0,-405.7569548419515
2009-02-17,-1,-1,0.0006845931659134052,1,-0.0006845931659134052,-0.07561171575715031,0,-6.845931659134052
2009-02-18,1,1,-0.015509720848458475,-1,-0.015509720848458475,-0.09112143660560879,0,-155.09720848458474
2009-02-19,1,1,0.0027749880000866867,1,0.0027749880000866867,-0.0883464486055221,1,27.749880000866867
2009-02-20,1,1,-0.03561098776837879,-1,-0.03561098776837879,-0.12395743637390089,0,-356.1098776837879
2009-02-23,1,1,0.03248894888930742,1,0.03248894888930742,-0.09146848748459346,1,324.88948889307426
2009-02-24,1,1,-0.006624142631352914,-1,-0.006624142631352914,-0.09809263011594638,0,-66.24142631352913
2009-02-25,-1,-1,-0.028380203015323957,-1,0.028380203015323957,-0.06971242710062242,1,283.80203015323957
2009-02-26,1,1,-0.009400458111689325,-1,-0.009400458111689325,-0.07911288521231175,0,-94.00458111689325
2009-02-27,-1,-1,-0.03286227942153408,-1,0.03286227942153408,-0.046250605790777666,1,328.6227942153408
2009-03-02,1,1,-0.0007515989878892348,-1,-0.0007515989878892348,-0.0470022047786669,0,-7.5159898788923485
2009-03-03,1,1,0.02632221652524347,1,0.02632221652524347,-0.02067998825342343,1,263.2221652524347
2009-03-04,1,1,-0.03046255488917682,-1,-0.03046255488917682,-0.05114254314260025,0,-304.6255488917682
2009-03-05,1,1,-0.007953135089913133,-1,-0.007953135089913133,-0.05909567823251338,0,-79.53135089913133
2009-03-06,1,1,-0.021522398791919084,-1,-0.021522398791919084,-0.08061807702443247,0,-215.22398791919085
2009-03-09,1,1,0.059938088771009035,1,0.059938088771009035,-0.02067998825342343,1,599.3808877100903
2009-03-10,-1,-1,0.015251108240779576,1,-0.015251108240779576,-0.03593109649420301,0,-152.51108240779575
2009-03-11,-1,-1,0.032615279948282616,1,-0.032615279948282616,-0.06854637644248562,0,-326.15279948282614
2009-03-12,1,1,0.0024388230150922396,1,0.0024388230150922396,-0.06610755342739338,1,24.388230150922396
2009-03-13,-1,-1,-0.01684256395524608,-1,0.01684256395524608,-0.0492649894721473,1,168.4256395524608
2009-03-16,1,1,0.0371630619969574,1,0.0371630619969574,-0.0121019274751899,1,371.630619969574
2009-03-17,-1,-1,0.012536707965753457,1,-0.012536707965753457,-0.024638635440943357,0,-125.36707965753457
2009-03-18,1,1,-0.0006735399249246932,-1,-0.0006735399249246932,-0.02531217536586805,0,-6.735399249246932
2009-03-19,-1,-1,-0.015337600169926802,-1,0.015337600169926802,-0.009974575195941249,1,153.37600169926802
2009-03-20,1,1,0.0572726095903997,1,0.0572726095903997,0.047298034394458455,1,572.726095903997
2009-03-23,1,1,-0.018618999408407166,-1,-0.018618999408407166,0.02867903498605129,0,-186.18999408407166
2009-03-24,1,1,0.004605415976566274,1,0.004605415976566274,0.03328445096261756,1,46.05415976566274
2009-03-25,-1,-1,0.030383595046822975,1,-0.030383595046822975,0.002900855915794587,0,-303.8359504682297
