date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1007.830000,-7.830000,0.000500,0.782600,-0.782100,0.000000,0
2025-12-02,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1010.290000,-10.280000,0.000600,1.029000,-1.028400,0.000000,0
2025-12-03,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1009.350000,-9.340000,0.000600,0.934900,-0.934300,0.000000,0
2025-12-04,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1013.460000,-13.450000,0.000800,1.346500,-1.345700,0.000000,0
2025-12-05,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1011.520000,-11.510000,0.000700,1.152100,-1.151400,0.000000,0
2025-12-08,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1012.770000,-12.760000,0.000800,1.276900,-1.276100,0.000000,0
2025-12-09,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1016.920000,-16.910000,0.001000,1.691600,-1.690600,0.000000,0
2025-12-10,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1013.630000,-13.620000,0.000800,1.362700,-1.361900,0.000000,0
2025-12-11,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,994.250000,5.750000,-0.000400,-0.575100,0.574700,0.000000,0
2025-12-12,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,989.260000,10.730000,-0.000700,-1.074200,1.073500,0.000000,0
2025-12-15,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,991.220000,8.770000,-0.000500,-0.878100,0.877600,0.000000,0
2025-12-16,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,972.840000,27.140000,-0.001700,-2.715500,2.713800,0.000000,0
2025-12-17,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,986.940000,13.050000,-0.000800,-1.305900,1.305100,0.000000,0
2025-12-18,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,999.810000,0.190000,-0.000000,-0.019400,0.019400,0.000000,0
2025-12-19,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1004.600000,-4.600000,0.000300,0.459900,-0.459600,0.000000,0
2025-12-22,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1009.300000,-9.290000,0.000600,0.930300,-0.929700,0.000000,0
2025-12-23,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1012.260000,-12.250000,0.000800,1.225500,-1.224700,0.000000,0
2025-12-24,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1012.190000,-12.180000,0.000800,1.219100,-1.218300,0.000000,0
2025-12-26,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1007.290000,-7.290000,0.000500,0.729100,-0.728600,0.000000,0
2025-12-29,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1004.960000,-4.960000,0.000300,0.495500,-0.495200,0.000000,0
2025-12-30,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,996.650000,3.350000,-0.000200,-0.335100,0.334900,0.000000,0
2025-12-31,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,994.720000,5.280000,-0.000300,-0.528200,0.527900,0.000000,0
2026-01-02,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1002.620000,-2.620000,0.000200,0.261900,-0.261700,0.000000,0
2026-01-05,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1011.430000,-11.420000,0.000700,1.142900,-1.142200,0.000000,0
2026-01-06,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1012.400000,-12.390000,0.000800,1.240200,-1.239400,0.000000,0
2026-01-07,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1006.640000,-6.640000,0.000400,0.664300,-0.663900,0.000000,0
2026-01-08,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1016.670000,-16.660000,0.001000,1.666900,-1.665900,0.000000,0
2026-01-09,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1017.510000,-17.500000,0.001100,1.751300,-1.750200,0.000000,0
2026-01-12,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1016.000000,-15.990000,0.001000,1.600400,-1.599400,0.000000,0
2026-01-13,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1005.150000,-5.150000,0.000300,0.515000,-0.514700,0.000000,0
2026-01-14,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1008.770000,-8.760000,0.000500,0.876800,-0.876300,0.000000,0
2026-01-15,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1007.920000,-7.920000,0.000500,0.792400,-0.791900,0.000000,0
2026-01-16,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,986.510000,13.480000,-0.000800,-1.349100,1.348300,0.000000,0
2026-01-20,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,999.850000,0.150000,-0.000000,-0.015500,0.015500,0.000000,0
2026-01-21,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1007.110000,-7.110000,0.000400,0.711300,-0.710900,0.000000,0
2026-01-22,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1010.290000,-10.280000,0.000600,1.029300,-1.028700,0.000000,0
2026-01-23,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1014.740000,-14.730000,0.000900,1.473800,-1.472900,0.000000,0
2026-01-26,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1023.940000,-23.930000,0.001500,2.393600,-2.392100,0.000000,0
2026-01-27,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.020000,1027.330000,-27.310000,0.001700,2.732700,-2.731000,0.000000,0
2026-01-28,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1021.180000,-21.170000,0.001300,2.117800,-2.116500,0.000000,0
2026-01-29,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1008.910000,-8.900000,0.000600,0.891200,-0.890600,0.000000,0
2026-01-30,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1015.840000,-15.830000,0.001000,1.584000,-1.583000,0.000000,0
2026-02-02,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1000.230000,-0.230000,0.000000,0.023300,-0.023300,0.000000,0
2026-02-03,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,982.760000,17.230000,-0.001100,-1.724000,1.722900,0.000000,0
2026-02-04,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,968.610000,31.370000,-0.002000,-3.138700,3.136700,0.000000,0
2026-02-05,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,989.090000,10.900000,-0.000700,-1.091200,1.090500,0.000000,0
2026-02-06,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,996.660000,3.340000,-0.000200,-0.333500,0.333300,0.000000,0
2026-02-09,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,992.040000,7.960000,-0.000500,-0.795900,0.795400,0.000000,0
2026-02-10,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,994.700000,5.300000,-0.000300,-0.529900,0.529600,0.000000,0
2026-02-11,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,974.470000,25.510000,-0.001600,-2.553000,2.551400,0.000000,0
2026-02-12,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,976.550000,23.440000,-0.001500,-2.345400,2.343900,0.000000,0
2026-02-13,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,975.540000,24.440000,-0.001500,-2.446000,2.444500,0.000000,0
2026-02-17,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,982.820000,17.170000,-0.001100,-1.717600,1.716500,0.000000,0
2026-02-18,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,979.060000,20.930000,-0.001300,-2.094000,2.092700,0.000000,0
2026-02-19,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,987.720000,12.270000,-0.000800,-1.227600,1.226800,0.000000,0
2026-02-20,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,975.720000,24.260000,-0.001500,-2.428100,2.426600,0.000000,0
2026-02-23,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,986.200000,13.790000,-0.000900,-1.380100,1.379200,0.000000,0
2026-02-24,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1000.490000,-0.490000,0.000000,0.049200,-0.049200,0.000000,0
2026-02-25,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,988.420000,11.570000,-0.000700,-1.157800,1.157100,0.000000,0
2026-02-26,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,985.260000,14.730000,-0.000900,-1.474200,1.473300,0.000000,0
2026-02-27,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,986.560000,13.430000,-0.000800,-1.344500,1.343700,0.000000,0
2026-03-02,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,975.990000,23.990000,-0.001500,-2.400600,2.399100,0.000000,0
2026-03-03,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,990.870000,9.120000,-0.000600,-0.912900,0.912300,0.000000,0
2026-03-04,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,987.890000,12.100000,-0.000800,-1.211400,1.210600,0.000000,0
2026-03-05,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,973.020000,26.960000,-0.001700,-2.697500,2.695800,0.000000,0
2026-03-06,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,986.020000,13.970000,-0.000900,-1.398000,1.397100,0.000000,0
2026-03-09,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,986.040000,13.950000,-0.000900,-1.396500,1.395600,0.000000,0
2026-03-10,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,985.910000,14.080000,-0.000900,-1.409500,1.408600,0.000000,0
2026-03-11,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,968.980000,31.000000,-0.002000,-3.101600,3.099600,0.000000,0
2026-03-12,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,963.240000,36.740000,-0.002300,-3.675900,3.673600,0.000000,0
2026-03-13,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,974.050000,25.930000,-0.001600,-2.595400,2.593800,0.000000,0
2026-03-16,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,978.800000,21.190000,-0.001300,-2.120100,2.118800,0.000000,0
2026-03-17,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,965.150000,34.830000,-0.002200,-3.484500,3.482300,0.000000,0
2026-03-18,0.000000,0,0,0.000000,0.000000,0.000000,0,999.980000,962.100000,37.880000,-0.002400,-3.789500,3.787100,0.000000,0
2026-03-19,0.000000,0,0,0.000000,0.000000,0.000000,0,999.960000,944.320000,55.640000,-0.003600,-5.567700,5.564100,0.000000,0
2026-03-20,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,955.160000,44.810000,-0.002900,-4.483700,4.480800,0.000000,0
2026-03-23,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,948.630000,51.340000,-0.003300,-5.136700,5.133400,0.000000,0
2026-03-24,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,954.870000,45.100000,-0.002900,-4.512900,4.510000,0.000000,0
2026-03-25,0.000000,0,0,0.000000,0.000000,0.000000,0,999.960000,932.080000,67.880000,-0.004400,-6.791900,6.787500,0.000000,0
2026-03-26,0.000000,0,0,0.000000,0.000000,0.000000,0,999.940000,913.870000,86.070000,-0.005600,-8.612900,8.607300,0.000000,0
2026-03-27,0.000000,0,0,0.000000,0.000000,0.000000,0,999.940000,906.890000,93.050000,-0.006100,-9.311400,9.305300,0.000000,0
2026-03-30,0.000000,0,0,0.000000,0.000000,0.000000,0,999.960000,937.590000,62.370000,-0.004000,-6.241300,6.237300,0.000000,0
2026-03-31,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,949.170000,50.800000,-0.003200,-5.083200,5.080000,0.000000,0
2026-04-01,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,950.260000,49.710000,-0.003200,-4.974300,4.971100,0.000000,0
2026-04-02,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,955.970000,44.000000,-0.002800,-4.402500,4.399700,0.000000,0
2026-04-06,0.000000,0,0,0.000000,0.000000,0.000000,0,999.970000,956.120000,43.850000,-0.002800,-4.387900,4.385100,0.000000,0
2026-04-07,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,984.550000,15.440000,-0.001000,-1.545100,1.544100,0.000000,0
2026-04-08,0.000000,0,0,0.000000,0.000000,0.000000,0,999.990000,991.210000,8.780000,-0.000500,-0.879100,0.878600,0.000000,0
2026-04-09,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,992.640000,7.360000,-0.000500,-0.736200,0.735700,0.000000,0
2026-04-10,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.000000,1002.900000,-2.900000,0.000200,0.290400,-0.290200,0.000000,0
2026-04-13,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.010000,1021.110000,-21.100000,0.001300,2.111400,-2.110100,0.000000,0
2026-04-14,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.020000,1035.410000,-35.390000,0.002200,3.540800,-3.538600,0.000000,0
2026-04-15,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.020000,1040.400000,-40.380000,0.002500,4.039600,-4.037100,0.000000,0
2026-04-16,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.030000,1054.010000,-53.980000,0.003300,5.400800,-5.397500,0.000000,0
2026-04-17,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.030000,1050.660000,-50.630000,0.003100,5.066200,-5.063100,0.000000,0
2026-04-20,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.030000,1046.670000,-46.640000,0.002800,4.666500,-4.663700,0.000000,0
2026-04-21,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.040000,1064.180000,-64.140000,0.003900,6.417600,-6.413700,0.000000,0
2026-04-22,0.000000,0,0,0.000000,0.000000,0.000000,0,1000.040000,1058.180000,-58.140000,0.003500,5.818200,-5.814700,0.000000,0
